,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,L,,0-1,,Cincinnati Bengals,23,34,24,380,305,75,2,19,330,229,101,2,-0.02,-8.25,-2.98
2,Sun,16-Sep,1:00PM ET,boxscore,W,,1-Jan,@,Washington Redskins,21,9,17,281,177,104,2,20,334,269,65,1,3.83,4.9,4.64
3,Sun,23-Sep,1:00PM ET,boxscore,L,,2-Jan,@,Philadelphia Eagles,16,20,14,209,141,68,,26,379,227,152,2,-5.54,-3.85,6.21
4,Sun,30-Sep,1:00PM ET,boxscore,L,OT,3-Jan,,Houston Texans,34,37,28,478,437,41,2,30,466,347,119,1,4.22,-13.24,4.75
5,Thu,4-Oct,8:20PM ET,boxscore,L,,4-Jan,@,New England Patriots,24,38,26,439,355,84,3,26,438,341,97,2,2.15,-13.9,-2.13
6,Sun,14-Oct,1:00PM ET,boxscore,L,,5-Jan,@,New York Jets,34,42,24,428,301,127,4,18,374,267,107,2,-5.04,-1.27,4.11
7,Sun,21-Oct,1:00PM ET,boxscore,W,,5-Feb,,Buffalo Bills,37,5,22,376,156,220,,15,303,168,135,5,22.28,22.35,-7.56
8,Sun,28-Oct,4:05PM ET,boxscore,W,,5-Mar,@,Oakland Raiders,42,28,28,461,239,222,,19,347,244,103,1,29.44,-12.71,-2.04
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,11-Nov,1:00PM ET,boxscore,W,,5-Apr,,Jacksonville Jaguars,29,26,17,366,285,81,1,24,415,324,91,1,16.89,-10.46,-5.81
11,Sun,18-Nov,1:00PM ET,boxscore,W,,5-May,,Tennessee Titans,38,10,26,397,295,102,,16,267,176,91,2,25.4,4.95,-4.25
12,Sun,25-Nov,4:25PM ET,boxscore,W,,5-Jun,,Miami Dolphins,27,24,26,455,337,118,3,14,314,201,113,1,12.34,-3.02,-5.47
13,Sun,2-Dec,1:00PM ET,boxscore,L,,6-Jun,@,Jacksonville Jaguars,0,6,19,265,224,41,2,11,211,132,79,1,-20.04,10.53,3.31
14,Sun,9-Dec,1:00PM ET,boxscore,W,,6-Jul,@,Houston Texans,24,21,24,436,386,50,1,25,315,226,89,,13.09,-8.14,-2.01
15,Sun,16-Dec,1:00PM ET,boxscore,W,,6-Aug,,Dallas Cowboys,23,0,25,370,192,178,1,19,292,180,112,1,10.54,8.08,-2.01
16,Sun,23-Dec,1:00PM ET,boxscore,W,,6-Sep,,New York Giants,28,27,27,402,353,49,1,22,392,309,83,1,18.72,-16.7,0.88
17,Sun,30-Dec,8:20PM ET,boxscore,W,,6-Oct,@,Tennessee Titans,33,17,24,436,278,158,2,11,258,165,93,3,2.8,14.91,0.99
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,5-Jan,4:35PM ET,boxscore,W,,6-Nov,@,Houston Texans,21,7,26,422,222,200,1,20,322,217,105,1,16.89,3.99,-2.95
Division,Sat,12-Jan,4:35PM ET,boxscore,L,,7-Nov,@,Kansas City Chiefs,13,31,15,266,179,87,1,29,433,253,180,1,-4.21,-12.69,1.58
